Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10",0402,2,1u,
"C11, C12, C2, C3, C4, C5, C6, C7, C8, C9",0402,10,100n,
"C13, C14",0603,2,10u,
"C15, C18, C19",0603,3,100n,
"C16, C17",0603,2,33p,
C20,0603,1,1u,
"C21, C22, C23, C24, C25",1206,5,100u,
"D1, D2",0805,2,KT-0805G,
"D10, D11, D12, D13, D14, D15, D3, D4, D5, D6, D7, D8, D9",0805,13,CD4148W,
"D16, D17, D18, D19, D20, D21, D22, D23, D24, D25",LED_WS2812B-2020_PLCC4_2.0x2.0mm,10,WS2812B-2020,
J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_14P,
J2,USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal,1,USB_C_Receptacle_PowerOnly_6P,
"J3, J4",PinHeader_1x10_P2.54mm_Vertical,2,Conn_01x10_Pin,
J5,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
Q1,SOT-23,1,BSS138,
"R1, R2",0603,2,27.4,
R10,0603,1,1k,
R11,0402,1,1k,
"R12, R18, R19",0603,3,470,
"R13, R14, R15, R16",0603,4,5k,
R17,0603,1,100,
"R3, R4, R5, R6",0603,4,5.1K,
"R7, R9",0603,2,10k,
R8,0603,1,33k,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9",SW_Push_SPST_NO_Alps_SKRK,15,SW_Push,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,
U3,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
U4,HS96L03W2C03,1,HS96L03W2C03,
U5,SOT-583-8,1,TPS2116DRL,
U7,MLT-8530,1,MLT-8530,
U8,Texas_S-PWSON-N6-HDC2080,1,HDC1080,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,1,NDK NX3225GA-12MHZ-STD-CRG-2,
